# Data file generated by gp_save.m
# histograms of2017_err
# bin centres, overall hist., histograms for each conditions
-20	0	0	0	0	0	0	0	0	0	0	0	0
-18	0	0	0	0	0	0	0	0	0	0	0	0
-16	0	0	0	0	0	0	0	0	0	0	0	0
-14	0	0	0	0	0	0	0	0	0	0	0	0
-12	0.0036364	0	0	0	0	0	0	0.02	0.02	0	0	0
-10	0.0072727	0	0	0	0	0	0.02	0	0	0	0.04	0.02
-8	0.02	0.02	0	0.04	0	0	0.06	0	0	0.04	0.06	0
-6	0.025455	0.04	0.02	0	0.02	0.02	0.02	0.08	0	0.04	0.04	0
-4	0.081818	0.16	0.06	0.08	0.1	0.08	0.12	0.06	0.02	0.06	0.1	0.06
-2	0.17818	0.2	0.24	0.2	0.26	0.14	0.06	0.14	0.2	0.14	0.26	0.12
0	0.32727	0.22	0.34	0.34	0.3	0.36	0.3	0.4	0.32	0.38	0.3	0.34
2	0.22182	0.16	0.22	0.18	0.2	0.22	0.32	0.2	0.36	0.14	0.16	0.28
4	0.089091	0.12	0.1	0.12	0.04	0.1	0.08	0.06	0.04	0.16	0.04	0.12
6	0.027273	0.06	0	0.04	0.04	0.06	0	0.04	0	0.02	0	0.04
8	0.012727	0	0.02	0	0.02	0.02	0.02	0	0.02	0.02	0	0.02
10	0.0036364	0	0	0	0.02	0	0	0	0.02	0	0	0
12	0.0018182	0.02	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0
