# Data file generated by gp_save.m
# histograms of2012_err
# bin centres, overall hist., histograms for each conditions
-20	0.0018182	0.02	0	0	0	0	0	0	0	0	0	0
-18	0	0	0	0	0	0	0	0	0	0	0	0
-16	0.0036364	0.04	0	0	0	0	0	0	0	0	0	0
-14	0.0018182	0	0	0	0.02	0	0	0	0	0	0	0
-12	0.010909	0	0	0.02	0.02	0	0.02	0.02	0.04	0	0	0
-10	0.014545	0.02	0.02	0	0.04	0	0.02	0.02	0.04	0	0	0
-8	0.036364	0.12	0.08	0.06	0	0.04	0	0.06	0.02	0.02	0	0
-6	0.052727	0.08	0.04	0.02	0.08	0.12	0.06	0.04	0.08	0.06	0	0
-4	0.1	0.12	0.08	0.1	0.06	0.1	0.18	0.14	0.12	0.12	0.06	0.02
-2	0.17455	0.12	0.16	0.1	0.2	0.26	0.26	0.22	0.18	0.12	0.16	0.14
0	0.22545	0.18	0.28	0.3	0.26	0.26	0.2	0.18	0.24	0.22	0.16	0.2
2	0.16182	0.14	0.22	0.18	0.16	0.12	0.12	0.12	0.1	0.28	0.22	0.12
4	0.083636	0.06	0.08	0.14	0.1	0.06	0.06	0.08	0.04	0.06	0.14	0.1
6	0.067273	0.08	0.02	0.04	0.04	0.02	0.02	0.1	0.1	0.02	0.12	0.18
8	0.025455	0	0.02	0	0.02	0.02	0	0	0.02	0.04	0.06	0.1
10	0.016364	0.02	0	0.04	0	0	0.02	0	0.02	0.02	0.02	0.04
12	0.016364	0	0	0	0	0	0.02	0	0	0.04	0.06	0.06
14	0.0054545	0	0	0	0	0	0.02	0	0	0	0	0.04
16	0.0018182	0	0	0	0	0	0	0.02	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0
