# Data file generated by gp_save_table.m
# 
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	-0.967078	-1.000000	-0.938272	-1.000000	-0.946502	-0.954733	-0.983539	-0.946502	-1.000000	-0.967078	-0.987654	-1.000000	-1.000000	-1.000000	-1.000000	-0.967078	-0.975309	-0.864198	-0.962963	-0.876543	-0.411523	-1.000000	-0.946502	-0.930041	-0.641975	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	1.000000	0.993827	1.000000	0.995885	1.000000	0.835391	1.000000	0.925926	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.893004	1.000000	1.000000	1.000000	0.995885	1.000000	0.991770	1.000000	0.987654	
"WFS"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_wfs_corrected.wav	0.205761	-0.302469	0.559671	-0.242798	0.551440	-0.847737	0.728395	0.111111	-0.378601	-0.362140	-0.242798	0.000000	0.510288	0.337449	0.300412	0.053498	0.921811	0.551440	-0.489712	0.329218	-0.111111	0.567901	0.662551	0.773663	-0.370370	
"NFC-HOA"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_nfchoa_corrected.wav	-0.666667	-0.812757	-0.479424	-0.794239	-0.510288	-0.942387	-0.510288	-0.448560	-0.864198	-0.736626	-0.794239	-0.658436	-0.872428	-0.604938	-0.786008	-0.938272	-0.049383	-0.539095	-0.551440	0.102881	-0.674897	0.395062	-0.078189	-0.769547	-0.831276	
"Stereo"	brs/brs_posx-0.50_posy0.75_stereo_corrected.wav	0.057613	-0.331276	0.534979	-0.279835	0.534979	-0.806584	0.370370	0.000000	0.534979	-0.559671	-0.580247	-0.572016	-0.024691	0.115226	-0.382716	-0.279835	-0.098765	0.349794	0.888889	0.962963	0.617284	0.888889	0.506173	0.534979	0.000000	
"LWFS 1024 27"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	-0.559671	-0.709877	-0.174897	-0.666667	-0.189300	-0.950617	-0.197531	-0.308642	-0.753086	-0.962963	0.000000	-0.806584	-0.629630	-0.609053	-0.189300	-0.798354	0.312757	0.000000	-0.666667	-0.160494	-0.510288	0.497942	-0.370370	-0.646091	-0.650206	
"LWFS 512 27"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0512_corrected.wav	-0.353909	-0.716049	-0.117284	-0.687243	-0.152263	-0.954733	-0.037037	-0.308642	-0.744856	-0.658436	-0.234568	-0.687243	-0.625514	-0.600823	-0.172840	-0.925926	0.053498	0.000000	-0.855967	-0.181070	-0.082305	0.534979	-0.152263	-0.399177	-0.991770	
"LWFS 256 27"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0256_corrected.wav	-0.565844	-0.837449	-0.224280	-0.818930	-0.283951	-0.946502	0.135802	-0.283951	-0.909465	-0.967078	-0.460905	-0.769547	-0.633745	-0.818930	-0.164609	-0.666667	-0.502058	-0.539095	-0.855967	-0.292181	-0.592593	0.181070	0.218107	0.238683	-0.934156	
"LWFS 128 27"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0128_corrected.wav	-0.170782	-0.617284	-0.039095	-0.613169	-0.078189	-0.942387	0.691358	-0.176955	-0.613169	-0.913580	-0.238683	-0.934156	0.707819	-0.164609	-0.621399	-0.609053	-0.094650	0.000000	-0.798354	-0.078189	-0.600823	0.539095	0.065844	-0.123457	-0.086420	
"LWFS 64 27"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0064_corrected.wav	0.094650	-0.150206	0.539095	-0.135802	0.510288	-0.921811	0.629630	-0.658436	-0.164609	0.000000	0.119342	0.473251	0.567901	0.510288	0.283951	0.037037	-0.135802	-0.251029	-0.551440	0.683128	0.201646	0.921811	0.802469	0.069959	-0.119342	
