
# Surface 0 of 1 surfaces

# Curve title: "'linear_s4.00_N35_RcInf_Rl0.10_fal.dat' u 1:(-$2):3 binary matrix"

# Contour 0, label:  1.8e+03
1.0736 3.05528 1800 
1.07538 3.05697 1800 
1.09477 3.07538 1800 
1.09548 3.07605 1800 
1.11558 3.09513 1800 
1.11595 3.09548 1800 
1.13568 3.11421 1800 
1.13713 3.11558 1800 
1.15578 3.13329 1800 
1.15831 3.13568 1800 
1.17588 3.15237 1800 
1.17949 3.15578 1800 
1.19598 3.17145 1800 
1.20067 3.17588 1800 
1.21608 3.19053 1800 
1.22185 3.19598 1800 
1.23618 3.2096 1800 
1.24303 3.21608 1800 
1.25628 3.22868 1800 
1.26421 3.23618 1800 
1.27638 3.24776 1800 
1.28539 3.25628 1800 
1.29648 3.26684 1800 
1.30656 3.27638 1800 
1.31658 3.28592 1800 
1.32774 3.29648 1800 
1.33668 3.305 1800 
1.34891 3.31658 1800 
1.35678 3.32408 1800 
1.37009 3.33668 1800 
1.37688 3.34316 1800 
1.39126 3.35678 1800 
1.39698 3.36224 1800 
1.41244 3.37688 1800 
1.41709 3.38132 1800 
1.43361 3.39698 1800 
1.43719 3.4004 1800 
1.45478 3.41709 1800 
1.45729 3.41947 1800 
1.47595 3.43719 1800 
1.47739 3.43855 1800 
1.49712 3.45729 1800 
1.49749 3.45763 1800 
1.51759 3.47671 1800 
1.5183 3.47739 1800 
1.53769 3.49579 1800 
1.53948 3.49749 1800 
1.55779 3.51487 1800 
1.56067 3.51759 1800 
1.57789 3.53395 1800 
1.58185 3.53769 1800 
1.59799 3.55303 1800 
1.60303 3.55779 1800 
1.61809 3.57211 1800 
1.62421 3.57789 1800 
1.63819 3.59119 1800 
1.64538 3.59799 1800 
1.65829 3.61027 1800 
1.66656 3.61809 1800 
1.67839 3.62934 1800 
1.68774 3.63819 1800 
1.69849 3.64842 1800 
1.70892 3.65829 1800 
1.71859 3.6675 1800 
1.73009 3.67839 1800 
1.73869 3.68658 1800 
1.75127 3.69849 1800 
1.75879 3.70566 1800 
1.77244 3.71859 1800 
1.77889 3.72474 1800 
1.79362 3.73869 1800 
1.799 3.74382 1800 
1.81479 3.75879 1800 
1.8191 3.7629 1800 
1.83596 3.77889 1800 
1.8392 3.78198 1800 
1.85713 3.799 1800 
1.8593 3.80106 1800 
1.87831 3.8191 1800 
1.8794 3.82013 1800 
1.89948 3.8392 1800 
1.9196 3.85829 1800 
1.92066 3.8593 1800 
1.9397 3.87737 1800 
1.94184 3.8794 1800 
1.9598 3.89645 1800 
1.96302 3.8995 1800 
1.9799 3.91553 1800 
1.9842 3.9196 1800 
2 3.93461 1800 

# Contour 1, label: 
0.0502513 2.08394 1800 
0.0571547 2.09045 1800 
0.0703518 2.10302 1800 
0.0783335 2.11055 1800 
0.0904523 2.1221 1800 
0.0995111 2.13065 1800 
0.110553 2.14118 1800 
0.120688 2.15075 1800 
0.130653 2.16026 1800 
0.141864 2.17085 1800 
0.150754 2.17934 1800 
0.163038 2.19095 1800 
0.170854 2.19841 1800 
0.184212 2.21106 1800 
0.190955 2.21749 1800 
0.205385 2.23116 1800 
0.211055 2.23657 1800 
0.226556 2.25126 1800 
0.231156 2.25565 1800 
0.247727 2.27136 1800 
0.251256 2.27473 1800 
0.268897 2.29146 1800 
0.271357 2.29381 1800 
0.290066 2.31156 1800 
0.291457 2.31289 1800 
0.311234 2.33166 1800 
0.311558 2.33197 1800 
