
# Surface 0 of 1 surfaces

# Curve title: "'linear_s4.00_N18_RcInf_Rl0.10_fal.dat' u 1:(-$2):3 binary matrix"

# Contour 0, label:    1e+03
0.208729 3.41709 1000 
0.211055 3.42052 1000 
0.222452 3.43719 1000 
0.231156 3.45001 1000 
0.236148 3.45729 1000 
0.249837 3.47739 1000 
0.251256 3.47948 1000 
0.263563 3.49749 1000 
0.271357 3.50897 1000 
0.277263 3.51759 1000 
0.290945 3.53769 1000 
0.291457 3.53845 1000 
0.304674 3.55779 1000 
0.311558 3.56793 1000 
0.318378 3.57789 1000 
0.331658 3.59741 1000 
0.332057 3.59799 1000 
0.345785 3.61809 1000 
0.351759 3.6269 1000 
0.359492 3.63819 1000 
0.371859 3.65637 1000 
0.373175 3.65829 1000 
0.386895 3.67839 1000 
0.39196 3.68586 1000 
0.400606 3.69849 1000 
0.41206 3.71534 1000 
0.414293 3.71859 1000 
0.428005 3.73869 1000 
0.432161 3.74482 1000 
0.441719 3.75879 1000 
0.452261 3.7743 1000 
0.45541 3.77889 1000 
0.469115 3.799 1000 
0.472362 3.80379 1000 
0.482832 3.8191 1000 
0.492462 3.83327 1000 
0.496526 3.8392 1000 
0.510224 3.8593 1000 
0.512563 3.86275 1000 
0.523944 3.8794 1000 
0.532663 3.89223 1000 
0.537642 3.8995 1000 
0.551333 3.9196 1000 
0.552764 3.92171 1000 
0.565056 3.9397 1000 
0.572864 3.9512 1000 
0.578757 3.9598 1000 
0.592441 3.9799 1000 
0.592965 3.98067 1000 
0.606168 4 1000 

# Contour 1, label: 
-0.606168 4 1000 
-0.592965 3.98067 1000 
-0.592441 3.9799 1000 
-0.578757 3.9598 1000 
-0.572864 3.9512 1000 
-0.565056 3.9397 1000 
-0.552764 3.92171 1000 
-0.551333 3.9196 1000 
-0.537642 3.8995 1000 
-0.532663 3.89223 1000 
-0.523944 3.8794 1000 
-0.512563 3.86275 1000 
-0.510224 3.8593 1000 
-0.496526 3.8392 1000 
-0.492462 3.83327 1000 
-0.482832 3.8191 1000 
-0.472362 3.80379 1000 
-0.469115 3.799 1000 
-0.45541 3.77889 1000 
-0.452261 3.7743 1000 
-0.441719 3.75879 1000 
-0.432161 3.74482 1000 
-0.428005 3.73869 1000 
-0.414293 3.71859 1000 
-0.41206 3.71534 1000 
-0.400606 3.69849 1000 
-0.39196 3.68586 1000 
-0.386895 3.67839 1000 
-0.373175 3.65829 1000 
-0.371859 3.65637 1000 
-0.359492 3.63819 1000 
-0.351759 3.6269 1000 
-0.345785 3.61809 1000 
-0.332057 3.59799 1000 
-0.331658 3.59741 1000 
-0.318378 3.57789 1000 
-0.311558 3.56793 1000 
-0.304674 3.55779 1000 
-0.291457 3.53845 1000 
-0.290945 3.53769 1000 
-0.277263 3.51759 1000 
-0.271357 3.50897 1000 
-0.263563 3.49749 1000 
-0.251256 3.47948 1000 
-0.249837 3.47739 1000 
-0.236148 3.45729 1000 
-0.231156 3.45001 1000 
-0.222452 3.43719 1000 
-0.211055 3.42052 1000 
-0.208729 3.41709 1000 
-0.195032 3.39698 1000 
-0.190955 3.39104 1000 
-0.181339 3.37688 1000 
-0.170854 3.36156 1000 
-0.16762 3.35678 1000 
-0.153915 3.33668 1000 
-0.150754 3.33208 1000 
-0.140227 3.31658 1000 
-0.130653 3.3026 1000 
-0.126511 3.29648 1000 
-0.112798 3.27638 1000 
-0.110553 3.27311 1000 
-0.0991136 3.25628 1000 
-0.0904523 3.24363 1000 
-0.0854016 3.23618 1000 
-0.07168 3.21608 1000 
-0.0703518 3.21415 1000 
-0.0579999 3.19598 1000 
-0.0502513 3.18467 1000 
-0.0442917 3.17588 1000 
-0.0305612 3.15578 1000 
-0.0301508 3.15518 1000 
-0.0168856 3.13568 1000 
-0.0100503 3.12571 1000 
0.0100503 3.12571 1000 
0.0168856 3.13568 1000 
0.0301508 3.15518 1000 
0.0305612 3.15578 1000 
0.0442917 3.17588 1000 
0.0502513 3.18467 1000 
0.0579999 3.19598 1000 
0.0703518 3.21415 1000 
0.07168 3.21608 1000 
0.0854016 3.23618 1000 
0.0904523 3.24363 1000 
0.0991136 3.25628 1000 
0.110553 3.27311 1000 
0.112798 3.27638 1000 
0.126511 3.29648 1000 
0.130653 3.3026 1000 
0.140227 3.31658 1000 
0.150754 3.33208 1000 
0.153915 3.33668 1000 
0.16762 3.35678 1000 
0.170854 3.36156 1000 
0.181339 3.37688 1000 
0.190955 3.39104 1000 
0.195032 3.39698 1000 
0.208729 3.41709 1000 

