
# Surface 0 of 1 surfaces

# Curve title: "'linear_s4.00_N35_RcInf_Rl0.10_fal.dat' u 1:(-$2):3 binary matrix"

# Contour 0, label:  1.6e+03
0.81407 1.23967 1600 
0.830334 1.24623 1600 
0.834171 1.24778 1600 
0.854271 1.25584 1600 
0.874372 1.26394 1600 
0.880316 1.26633 1600 
0.894472 1.27202 1600 
0.914573 1.2801 1600 
0.93028 1.28643 1600 
0.934673 1.2882 1600 
0.954774 1.29627 1600 
0.974874 1.30437 1600 
0.980257 1.30653 1600 
0.994975 1.31244 1600 
1.01508 1.32053 1600 
1.03023 1.32663 1600 
1.03518 1.32863 1600 
1.05528 1.33669 1600 
1.07538 1.3448 1600 
1.0802 1.34673 1600 
1.09548 1.35287 1600 
1.11558 1.36095 1600 
1.13017 1.36683 1600 
1.13568 1.36905 1600 
1.15578 1.37712 1600 
1.17588 1.38522 1600 
1.18014 1.38693 1600 
1.19598 1.39329 1600 
1.21608 1.40138 1600 
1.23012 1.40704 1600 
1.23618 1.40948 1600 
1.25628 1.41755 1600 
1.27638 1.42565 1600 
1.28008 1.42714 1600 
1.29648 1.43372 1600 
1.31658 1.44181 1600 
1.33006 1.44724 1600 
1.33668 1.4499 1600 
1.35678 1.45797 1600 
1.37688 1.46608 1600 
1.38002 1.46734 1600 
1.39698 1.47415 1600 
1.41709 1.48223 1600 
1.43001 1.48744 1600 
1.43719 1.49033 1600 
1.45729 1.4984 1600 
1.47739 1.5065 1600 
1.47996 1.50754 1600 
1.49749 1.51457 1600 
1.51759 1.52266 1600 
1.52995 1.52764 1600 
1.53769 1.53075 1600 
1.55779 1.53883 1600 
1.57789 1.54693 1600 
1.5799 1.54774 1600 
1.59799 1.555 1600 
1.61809 1.56309 1600 
1.6299 1.56784 1600 
1.63819 1.57118 1600 
1.65829 1.57925 1600 
1.67839 1.58736 1600 
1.67984 1.58794 1600 
1.69849 1.59542 1600 
1.71859 1.60351 1600 
1.72984 1.60804 1600 
1.73869 1.6116 1600 
1.75879 1.61968 1600 
1.77889 1.62778 1600 
1.77978 1.62814 1600 
1.799 1.63585 1600 
1.8191 1.64394 1600 
1.82978 1.64824 1600 
1.8392 1.65203 1600 
1.8593 1.6601 1600 
1.8794 1.66821 1600 
1.87972 1.66834 1600 
1.8995 1.67627 1600 
1.9196 1.68437 1600 
1.92973 1.68844 1600 
1.9397 1.69245 1600 
1.9598 1.70053 1600 
1.97967 1.70854 1600 
1.9799 1.70864 1600 
2 1.7167 1600 

# Contour 1, label: 
-0.592965 1.15074 1600 
-0.580494 1.14573 1600 
-0.572864 1.14266 1600 
-0.552764 1.13456 1600 
-0.532663 1.1265 1600 
-0.530493 1.12563 1600 
-0.512563 1.11839 1600 
-0.492462 1.11031 1600 
-0.480552 1.10553 1600 
-0.472362 1.10223 1600 
-0.452261 1.09413 1600 
-0.432161 1.08608 1600 
-0.430545 1.08543 1600 
-0.41206 1.07796 1600 
-0.39196 1.06989 1600 
-0.380611 1.06533 1600 
-0.371859 1.06181 1600 
-0.351759 1.05371 1600 
-0.331658 1.04566 1600 
