
# Surface 0 of 1 surfaces

# Curve title: "'linear_s4.00_N18_RcInf_Rl0.10_fal.dat' u 1:(-$2):3 binary matrix"

# Contour 0, label:      800
0.81407 1.23967 800 
0.830334 1.24623 800 
0.834171 1.24778 800 
0.854271 1.25584 800 
0.874372 1.26394 800 
0.880316 1.26633 800 
0.894472 1.27202 800 
0.914573 1.2801 800 
0.93028 1.28643 800 
0.934673 1.2882 800 
0.954774 1.29627 800 
0.974874 1.30437 800 
0.980257 1.30653 800 
0.994975 1.31244 800 
1.01508 1.32053 800 
1.03023 1.32663 800 
1.03518 1.32863 800 
1.05528 1.33669 800 
1.07538 1.3448 800 
1.0802 1.34673 800 
1.09548 1.35287 800 
1.11558 1.36095 800 
1.13017 1.36683 800 
1.13568 1.36905 800 
1.15578 1.37712 800 
1.17588 1.38522 800 
1.18014 1.38693 800 
1.19598 1.39329 800 
1.21608 1.40138 800 
1.23012 1.40704 800 
1.23618 1.40948 800 
1.25628 1.41755 800 
1.27638 1.42565 800 
1.28008 1.42714 800 
1.29648 1.43372 800 
1.31658 1.44181 800 
1.33006 1.44724 800 
1.33668 1.4499 800 
1.35678 1.45797 800 
1.37688 1.46608 800 
1.38002 1.46734 800 
1.39698 1.47415 800 
1.41709 1.48223 800 
1.43001 1.48744 800 
1.43719 1.49033 800 
1.45729 1.4984 800 
1.47739 1.5065 800 
1.47996 1.50754 800 
1.49749 1.51457 800 
1.51759 1.52266 800 
1.52995 1.52764 800 
1.53769 1.53075 800 
1.55779 1.53883 800 
1.57789 1.54693 800 
1.5799 1.54774 800 
1.59799 1.555 800 
1.61809 1.56309 800 
1.6299 1.56784 800 
1.63819 1.57118 800 
1.65829 1.57925 800 
1.67839 1.58736 800 
1.67984 1.58794 800 
1.69849 1.59542 800 
1.71859 1.60351 800 
1.72984 1.60804 800 
1.73869 1.6116 800 
1.75879 1.61968 800 
1.77889 1.62778 800 
1.77978 1.62814 800 
1.799 1.63585 800 
1.8191 1.64394 800 
1.82978 1.64824 800 
1.8392 1.65203 800 
1.8593 1.6601 800 
1.8794 1.66821 800 
1.87972 1.66834 800 
1.8995 1.67627 800 
1.9196 1.68437 800 
1.92973 1.68844 800 
1.9397 1.69245 800 
1.9598 1.70053 800 
1.97967 1.70854 800 
1.9799 1.70864 800 
2 1.7167 800 

# Contour 1, label: 
-0.592965 1.15074 800 
-0.580494 1.14573 800 
-0.572864 1.14266 800 
-0.552764 1.13456 800 
-0.532663 1.1265 800 
-0.530493 1.12563 800 
-0.512563 1.11839 800 
-0.492462 1.11031 800 
-0.480552 1.10553 800 
-0.472362 1.10223 800 
-0.452261 1.09413 800 
-0.432161 1.08608 800 
-0.430545 1.08543 800 
-0.41206 1.07796 800 
-0.39196 1.06989 800 
-0.380611 1.06533 800 
-0.371859 1.06181 800 
-0.351759 1.05371 800 
-0.331658 1.04566 800 
-0.330594 1.04523 800 
-0.311558 1.03754 800 
-0.291457 1.02946 800 
-0.280671 1.02513 800 
-0.271357 1.02138 800 
-0.251256 1.01328 800 
-0.231156 1.00523 800 
-0.230644 1.00503 800 
-0.211055 0.99711 800 
-0.190955 0.989037 800 
-0.180728 0.984925 800 
-0.170854 0.980952 800 
-0.150754 0.972853 800 
-0.130696 0.964824 800 
-0.130653 0.964807 800 
-0.110553 0.956682 800 
-0.0904523 0.948611 800 
-0.080787 0.944724 800 
-0.0703518 0.940524 800 
-0.0502513 0.932427 800 
-0.030759 0.924623 800 
-0.0301508 0.924379 800 
-0.0100503 0.916255 800 
0.0100503 0.916255 800 
0.0301508 0.924379 800 
0.030759 0.924623 800 
0.0502513 0.932427 800 
0.0703518 0.940524 800 
0.080787 0.944724 800 
0.0904523 0.948611 800 
0.110553 0.956682 800 
0.130653 0.964807 800 
0.130696 0.964824 800 
0.150754 0.972853 800 
0.170854 0.980952 800 
0.180728 0.984925 800 
0.190955 0.989037 800 
0.211055 0.99711 800 
0.230644 1.00503 800 
0.231156 1.00523 800 
0.251256 1.01328 800 
0.271357 1.02138 800 
0.280671 1.02513 800 
0.291457 1.02946 800 
0.311558 1.03754 800 
0.330594 1.04523 800 
0.331658 1.04566 800 
0.351759 1.05371 800 
0.371859 1.06181 800 
0.380611 1.06533 800 
0.39196 1.06989 800 
0.41206 1.07796 800 
0.430545 1.08543 800 
0.432161 1.08608 800 
0.452261 1.09413 800 
0.472362 1.10223 800 
0.480552 1.10553 800 
0.492462 1.11031 800 
0.512563 1.11839 800 
0.530493 1.12563 800 
0.532663 1.1265 800 
0.552764 1.13456 800 
0.572864 1.14266 800 
0.580494 1.14573 800 
0.592965 1.15074 800 
0.613065 1.15882 800 
0.630442 1.16583 800 
0.633166 1.16693 800 
0.653266 1.17499 800 
0.673367 1.18309 800 
0.680436 1.18593 800 
0.693467 1.19116 800 
0.713568 1.19925 800 
0.730388 1.20603 800 
0.733668 1.20735 800 
0.753769 1.21541 800 
0.773869 1.22352 800 
0.780376 1.22613 800 
0.79397 1.23159 800 
0.81407 1.23967 800 

# Contour 2, label: 
-2 1.7167 800 
-1.9799 1.70864 800 
-1.97967 1.70854 800 
-1.9598 1.70053 800 
-1.9397 1.69245 800 
-1.92973 1.68844 800 
-1.9196 1.68437 800 
-1.8995 1.67627 800 
-1.87972 1.66834 800 
-1.8794 1.66821 800 
-1.8593 1.6601 800 
-1.8392 1.65203 800 
-1.82978 1.64824 800 
-1.8191 1.64394 800 
-1.799 1.63585 800 
-1.77978 1.62814 800 
-1.77889 1.62778 800 
-1.75879 1.61968 800 
-1.73869 1.6116 800 
-1.72984 1.60804 800 
-1.71859 1.60351 800 
-1.69849 1.59542 800 
-1.67984 1.58794 800 
-1.67839 1.58736 800 
-1.65829 1.57925 800 
-1.63819 1.57118 800 
-1.6299 1.56784 800 
-1.61809 1.56309 800 
-1.59799 1.555 800 
-1.5799 1.54774 800 
-1.57789 1.54693 800 
-1.55779 1.53883 800 
-1.53769 1.53075 800 
-1.52995 1.52764 800 
-1.51759 1.52266 800 
-1.49749 1.51457 800 
-1.47996 1.50754 800 
-1.47739 1.5065 800 
-1.45729 1.4984 800 
-1.43719 1.49033 800 
-1.43001 1.48744 800 
-1.41709 1.48223 800 
-1.39698 1.47415 800 
-1.38002 1.46734 800 
-1.37688 1.46608 800 
-1.35678 1.45797 800 
-1.33668 1.4499 800 
-1.33006 1.44724 800 
-1.31658 1.44181 800 
-1.29648 1.43372 800 
-1.28008 1.42714 800 
-1.27638 1.42565 800 
-1.25628 1.41755 800 
-1.23618 1.40948 800 
-1.23012 1.40704 800 
-1.21608 1.40138 800 
-1.19598 1.39329 800 
-1.18014 1.38693 800 
-1.17588 1.38522 800 
-1.15578 1.37712 800 
-1.13568 1.36905 800 
-1.13017 1.36683 800 
-1.11558 1.36095 800 
-1.09548 1.35287 800 
-1.0802 1.34673 800 
-1.07538 1.3448 800 
-1.05528 1.33669 800 
-1.03518 1.32863 800 
-1.03023 1.32663 800 
-1.01508 1.32053 800 
-0.994975 1.31244 800 
-0.980257 1.30653 800 
-0.974874 1.30437 800 
-0.954774 1.29627 800 
-0.934673 1.2882 800 
-0.93028 1.28643 800 
-0.914573 1.2801 800 
-0.894472 1.27202 800 
-0.880316 1.26633 800 
-0.874372 1.26394 800 
-0.854271 1.25584 800 
-0.834171 1.24778 800 
-0.830334 1.24623 800 
-0.81407 1.23967 800 
-0.79397 1.23159 800 
-0.780376 1.22613 800 
-0.773869 1.22352 800 
-0.753769 1.21541 800 
-0.733668 1.20735 800 
-0.730388 1.20603 800 
-0.713568 1.19925 800 
-0.693467 1.19116 800 
-0.680436 1.18593 800 
-0.673367 1.18309 800 
-0.653266 1.17499 800 
-0.633166 1.16693 800 
-0.630442 1.16583 800 
-0.613065 1.15882 800 
-0.592965 1.15074 800 

