# Data file generated by gp_save_table.m
# pairwise differences of ratings vs Ref
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"p-value (H0: = 0)"	"p-value (H0: >= 0)"	"p-value (H0: <= 0)"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	0.000000	0.000000	0.000000	0.000000	0.000000	1.014565	0.507282	0.507282	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	0.974280	0.907407	1.000000	0.909465	1.000000	0.000002	1.000000	0.000001	0.816872	0.693416	0.909465	1.000000	1.000000	0.997942	1.000000	1.000000	1.000000	1.000000	0.979424	0.950617	1.000000	0.954733	0.969136	0.837449	0.816872	0.946502	0.905350	0.989712	
"WFS"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_wfs_corrected.wav	0.232510	0.093621	0.436214	0.102881	0.395062	0.000004	1.000000	0.000002	0.010288	0.170782	0.323045	0.102881	0.000000	0.039095	0.063786	0.477366	0.246914	0.168724	0.218107	0.084362	0.388889	0.539095	0.395062	0.528807	0.506173	0.485597	0.337449	0.174897	
"NFC-HOA 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_nfchoa_corrected.wav	0.118313	0.038066	0.368313	0.039095	0.358025	0.000063	0.999982	0.000031	0.004115	0.096708	0.378601	0.039095	0.000000	0.037037	0.098765	0.195473	0.111111	0.358025	0.125514	0.530864	0.483539	0.409465	0.444444	0.094650	-0.092593	0.127572	0.160494	-0.002058	
"Stereo"	brs/brs_posx-0.50_posy0.75_stereo_corrected.wav	0.497942	0.180041	0.613169	0.193416	0.602881	0.000002	1.000000	0.000001	0.002058	0.423868	0.119342	0.500000	0.506173	0.137860	0.193416	0.055556	0.166667	0.450617	0.469136	0.806584	0.804527	0.956790	0.514403	0.623457	0.736626	0.600823	0.602881	0.495885	
"LWFS-SBL 1024 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	0.096708	0.018519	0.171811	0.018519	0.168724	0.000851	0.999646	0.000425	0.018519	-0.119342	0.236626	0.018519	0.000000	0.000000	0.018519	0.119342	0.191358	0.024691	0.111111	0.174897	0.144033	0.125514	0.168724	0.082305	0.547325	-0.053498	0.409465	0.028807	
"LWFS-SBL 512 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0512_corrected.wav	0.061728	0.014403	0.126543	0.020576	0.111111	0.000586	0.999803	0.000293	0.008230	0.277778	0.286008	0.028807	0.000000	0.034979	0.020576	0.059671	0.191358	0.049383	0.141975	0.100823	0.067901	0.275720	0.111111	-0.022634	-0.092593	0.063786	0.088477	0.002058	
"LWFS-SBL 256 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0256_corrected.wav	0.082305	0.013374	0.252058	0.018519	0.251029	0.000708	0.999759	0.000354	0.008230	-0.189300	0.257202	0.018519	0.000000	0.057613	0.055556	0.069959	0.193416	0.024691	0.109053	0.094650	0.283951	0.263374	0.251029	-0.030864	0.650206	0.191358	0.253086	0.000000	
"LWFS-SBL 128 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0128_corrected.wav	0.330247	0.144033	0.465021	0.187243	0.434156	0.000002	1.000000	0.000001	0.010288	0.320988	0.355967	0.065844	0.100823	0.339506	0.051440	0.434156	0.500000	0.246914	0.248971	0.187243	0.681070	0.495885	0.366255	0.209877	0.582305	0.360082	0.777778	0.061728	
"LWFS-SBL 64 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw0064_corrected.wav	0.344650	0.183128	0.560700	0.207819	0.545267	0.000004	1.000000	0.000002	0.008230	0.158436	0.277778	0.135802	0.000000	0.211934	0.098765	0.393004	0.584362	0.244856	0.207819	0.576132	0.520576	0.658436	0.545267	0.296296	0.792181	0.707819	0.502058	0.432099	
