
# Surface 0 of 1 surfaces

# Curve title: "'fS.dat' u 1:2:($3/1000) binary matrix"

# Contour 0, label:        2
1.05234 -1.06161 2 
1.05326 -1.06271 2 
1.06186 -1.07308 2 
1.06271 -1.07411 2 
1.07044 -1.08344 2 
1.07308 -1.08665 2 
1.07902 -1.09381 2 
1.08344 -1.09918 2 
1.08759 -1.10418 2 
1.09381 -1.11173 2 
1.09614 -1.11455 2 
1.10418 -1.12431 2 
1.10468 -1.12492 2 
1.11324 -1.13528 2 
1.11455 -1.13688 2 
1.12178 -1.14565 2 
1.12492 -1.14948 2 
1.13031 -1.15602 2 
1.13528 -1.16209 2 
1.13883 -1.16639 2 
1.14565 -1.17471 2 
1.14734 -1.17676 2 
1.15584 -1.18712 2 
1.15602 -1.18734 2 
1.16435 -1.19749 2 
1.16639 -1.19999 2 
1.17285 -1.20786 2 
1.17676 -1.21264 2 
1.18134 -1.21823 2 
1.18712 -1.22532 2 
1.18981 -1.2286 2 
1.19749 -1.23801 2 
1.19828 -1.23896 2 
1.20675 -1.24933 2 
1.20786 -1.25069 2 
1.21522 -1.2597 2 
1.21823 -1.2634 2 
1.22367 -1.27007 2 
1.2286 -1.27613 2 
1.23212 -1.28043 2 
1.23896 -1.28885 2 
1.24056 -1.2908 2 
1.249 -1.30117 2 
1.24933 -1.30158 2 
1.25743 -1.31154 2 
1.2597 -1.31435 2 
1.26585 -1.32191 2 
1.27007 -1.32711 2 
1.27428 -1.33227 2 
1.28043 -1.33987 2 
1.2827 -1.34264 2 
1.2908 -1.35266 2 
1.29109 -1.35301 2 
1.29949 -1.36338 2 
1.30117 -1.36545 2 
1.3079 -1.37375 2 
1.31154 -1.37825 2 
1.3163 -1.38411 2 
1.32191 -1.39106 2 
1.32468 -1.39448 2 
1.33227 -1.40389 2 
1.33305 -1.40485 2 
1.34143 -1.41522 2 
1.34264 -1.41672 2 
1.34981 -1.42559 2 
1.35301 -1.42955 2 
1.35819 -1.43595 2 
1.36338 -1.44241 2 
1.36654 -1.44632 2 
1.37375 -1.45528 2 
1.37489 -1.45669 2 
1.38324 -1.46706 2 
1.38411 -1.46814 2 
1.3916 -1.47742 2 
1.39448 -1.48101 2 
1.39995 -1.48779 2 
1.40485 -1.4939 2 
1.40828 -1.49816 2 

# Contour 1, label: 
0.580247 -0.513211 2 
0.585786 -0.519339 2 
0.589639 -0.523579 2 
0.596154 -0.5308 2 
0.599009 -0.533947 2 
0.606522 -0.5423 2 
0.608346 -0.544314 2 
0.61689 -0.553833 2 
0.617657 -0.554682 2 
0.626951 -0.56505 2 
0.627258 -0.565395 2 
0.636225 -0.575418 2 
0.637625 -0.576995 2 
0.645475 -0.585786 2 
0.647993 -0.588629 2 
0.654705 -0.596154 2 
0.658361 -0.600289 2 
0.663906 -0.606522 2 
0.668729 -0.611981 2 
0.673089 -0.61689 2 
0.679097 -0.623708 2 
0.682247 -0.627258 2 
0.689465 -0.635458 2 
0.691382 -0.637625 2 
0.699833 -0.647237 2 
0.700501 -0.647993 2 
0.709598 -0.658361 2 
0.710201 -0.659053 2 
0.718692 -0.668729 2 
0.720569 -0.670886 2 
0.727755 -0.679097 2 
0.730936 -0.682755 2 
0.736807 -0.689465 2 
0.741304 -0.694648 2 
0.745832 -0.699833 2 
0.751672 -0.706562 2 
0.754847 -0.710201 2 
0.76204 -0.718512 2 
0.763833 -0.720569 2 
0.772408 -0.730474 2 
0.77281 -0.730936 2 
0.781771 -0.741304 2 
0.782776 -0.742474 2 
0.790728 -0.751672 2 
0.793144 -0.75449 2 
0.799658 -0.76204 2 
0.803512 -0.766534 2 
0.80858 -0.772408 2 
0.81388 -0.778599 2 
0.817477 -0.782776 2 
0.824247 -0.790685 2 
0.826365 -0.793144 2 
0.834615 -0.802797 2 
0.835229 -0.803512 2 
0.844093 -0.81388 2 
0.844983 -0.814927 2 
0.852945 -0.824247 2 
0.855351 -0.827085 2 
0.86178 -0.834615 2 
0.865719 -0.839256 2 
0.870606 -0.844983 2 
0.876087 -0.851455 2 
0.879407 -0.855351 2 
0.886455 -0.863668 2 
0.888203 -0.865719 2 
0.896823 -0.875906 2 
0.896977 -0.876087 2 
0.905754 -0.886455 2 
0.907191 -0.888161 2 
0.914523 -0.896823 2 
0.917559 -0.900436 2 
0.923268 -0.907191 2 
0.927926 -0.912732 2 
0.93201 -0.917559 2 
0.938294 -0.92504 2 
0.940731 -0.927926 2 
0.948662 -0.937376 2 
0.949438 -0.938294 2 
0.958152 -0.948662 2 
0.95903 -0.949715 2 
0.966846 -0.95903 2 
0.969398 -0.96209 2 
0.975533 -0.969398 2 
0.979766 -0.974468 2 
0.984213 -0.979766 2 
0.990134 -0.986871 2 
0.992869 -0.990134 2 
1.0005 -0.999289 2 
