
# Surface 0 of 1 surfaces

# Curve title: "'fS.dat' u 1:2:($3/1000) binary matrix"

# Contour 0, label:      2.5
0.523579 -1.35564 2.5 
0.527721 -1.36338 2.5 
0.53324 -1.37375 2.5 
0.533947 -1.37508 2.5 
0.538764 -1.38411 2.5 
0.544259 -1.39448 2.5 
0.544314 -1.39459 2.5 
0.549781 -1.40485 2.5 
0.554682 -1.41411 2.5 
0.555274 -1.41522 2.5 
0.560773 -1.42559 2.5 
0.56505 -1.43369 2.5 
0.566253 -1.43595 2.5 
0.571748 -1.44632 2.5 
0.575418 -1.45329 2.5 
0.577221 -1.45669 2.5 
0.582693 -1.46706 2.5 
0.585786 -1.47295 2.5 
0.588159 -1.47742 2.5 
0.593628 -1.48779 2.5 
0.596154 -1.49261 2.5 
0.599083 -1.49816 2.5 

# Contour 1, label: 
0.160702 -0.70848 2.5 
0.161746 -0.710201 2.5 
0.167982 -0.720569 2.5 
0.17107 -0.725757 2.5 
0.174187 -0.730936 2.5 
0.180362 -0.741304 2.5 
0.181438 -0.743124 2.5 
0.186543 -0.751672 2.5 
0.191806 -0.760582 2.5 
0.192677 -0.76204 2.5 
0.198816 -0.772408 2.5 
0.202174 -0.77813 2.5 
0.204929 -0.782776 2.5 
0.211015 -0.793144 2.5 
0.212542 -0.795763 2.5 
0.217103 -0.803512 2.5 
0.22291 -0.813475 2.5 
0.223148 -0.81388 2.5 
0.229206 -0.824247 2.5 
0.233278 -0.831275 2.5 
0.235232 -0.834615 2.5 
0.241244 -0.844983 2.5 
0.243645 -0.849154 2.5 
0.247249 -0.855351 2.5 
0.253219 -0.865719 2.5 
0.254013 -0.867108 2.5 
0.259202 -0.876087 2.5 
0.264381 -0.885138 2.5 
0.265143 -0.886455 2.5 
0.271096 -0.896823 2.5 
0.274749 -0.903243 2.5 
0.277019 -0.907191 2.5 
0.282933 -0.917559 2.5 
0.285117 -0.921418 2.5 
0.288838 -0.927926 2.5 
0.294717 -0.938294 2.5 
0.295485 -0.939659 2.5 
0.300604 -0.948662 2.5 
0.305853 -0.957969 2.5 
0.306457 -0.95903 2.5 
0.312319 -0.969398 2.5 
0.316221 -0.976349 2.5 
0.318157 -0.979766 2.5 
0.323984 -0.990134 2.5 
0.326589 -0.994794 2.5 
0.329809 -1.0005 2.5 
0.335604 -1.01087 2.5 
0.336957 -1.0133 2.5 
0.341412 -1.02124 2.5 
0.347179 -1.03161 2.5 
0.347324 -1.03187 2.5 
0.35297 -1.04197 2.5 
0.357692 -1.05049 2.5 
0.358726 -1.05234 2.5 
0.364486 -1.06271 2.5 
0.36806 -1.06918 2.5 
0.370233 -1.07308 2.5 
0.375963 -1.08344 2.5 
0.378428 -1.08793 2.5 
0.381694 -1.09381 2.5 
0.387404 -1.10418 2.5 
0.388796 -1.10673 2.5 
0.393116 -1.11455 2.5 
0.398809 -1.12492 2.5 
0.399164 -1.12557 2.5 
0.404505 -1.13528 2.5 
0.409532 -1.14449 2.5 
0.410175 -1.14565 2.5 
0.415861 -1.15602 2.5 
0.4199 -1.16345 2.5 
0.421514 -1.16639 2.5 
0.427178 -1.17676 2.5 
0.430268 -1.18245 2.5 
0.432824 -1.18712 2.5 
0.438459 -1.19749 2.5 
0.440635 -1.20152 2.5 
0.444099 -1.20786 2.5 
0.449715 -1.21823 2.5 
0.451003 -1.22062 2.5 
0.455337 -1.2286 2.5 
0.46094 -1.23896 2.5 
0.461371 -1.23977 2.5 
0.466551 -1.24933 2.5 
0.471739 -1.25898 2.5 
0.472131 -1.2597 2.5 
0.477736 -1.27007 2.5 
0.482107 -1.27822 2.5 
0.483306 -1.28043 2.5 
0.488884 -1.2908 2.5 
0.492475 -1.29751 2.5 
0.494451 -1.30117 2.5 
0.500015 -1.31154 2.5 
0.502843 -1.31684 2.5 
0.505565 -1.32191 2.5 
0.511113 -1.33227 2.5 
0.513211 -1.33621 2.5 
0.516662 -1.34264 2.5 
0.522186 -1.35301 2.5 
0.523579 -1.35564 2.5 

# Contour 2, label: 
-0.241244 -0.844983 2.5 
-0.235232 -0.834615 2.5 
-0.233278 -0.831275 2.5 
-0.229206 -0.824247 2.5 
-0.223148 -0.81388 2.5 
-0.22291 -0.813475 2.5 
-0.217103 -0.803512 2.5 
-0.212542 -0.795763 2.5 
-0.211015 -0.793144 2.5 
-0.204929 -0.782776 2.5 
-0.202174 -0.77813 2.5 
-0.198816 -0.772408 2.5 
-0.192677 -0.76204 2.5 
-0.191806 -0.760582 2.5 
-0.186543 -0.751672 2.5 
-0.181438 -0.743124 2.5 
-0.180362 -0.741304 2.5 
-0.174187 -0.730936 2.5 
-0.17107 -0.725757 2.5 
-0.167982 -0.720569 2.5 
-0.161746 -0.710201 2.5 
-0.160702 -0.70848 2.5 
-0.155511 -0.699833 2.5 
-0.150334 -0.691295 2.5 
-0.149236 -0.689465 2.5 
