
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fM_M%d.dat', M) binary matrix"

# Contour 0, label:  1.5e+03
1.30889 0.202174 1500 
1.31154 0.197502 1500 
1.3148 0.191806 1500 
1.3207 0.181438 1500 
1.32191 0.1793 1500 
1.32662 0.17107 1500 
1.33227 0.161098 1500 
1.3325 0.160702 1500 
1.33843 0.150334 1500 
1.34264 0.142897 1500 
1.34432 0.139967 1500 
1.35023 0.129599 1500 
1.35301 0.124696 1500 
1.35614 0.119231 1500 
1.36204 0.108863 1500 
1.36338 0.106494 1500 
1.36796 0.098495 1500 
1.37375 0.0882915 1500 
1.37384 0.0881271 1500 
1.37977 0.0777592 1500 
1.38411 0.070091 1500 
1.38566 0.0673913 1500 
1.39157 0.0570234 1500 
1.39448 0.0518896 1500 
1.39748 0.0466555 1500 
1.40338 0.0362876 1500 
1.40485 0.0336877 1500 
1.40929 0.0259197 1500 
1.41518 0.0155518 1500 
1.41522 0.0154852 1500 
1.42111 0.00518395 1500 
1.42559 -0.00271555 1500 
1.427 -0.00518395 1500 
1.43291 -0.0155518 1500 
1.43595 -0.0209168 1500 
1.43882 -0.0259197 1500 
1.44472 -0.0362876 1500 
1.44632 -0.0391185 1500 
1.45063 -0.0466555 1500 
1.45652 -0.0570234 1500 
1.45669 -0.057321 1500 
1.46245 -0.0673913 1500 
1.46706 -0.0755219 1500 
1.46834 -0.0777592 1500 
1.47425 -0.0881271 1500 
1.47742 -0.093723 1500 
1.48016 -0.098495 1500 
1.48606 -0.108863 1500 
1.48779 -0.111925 1500 
1.49197 -0.119231 1500 
1.49786 -0.129599 1500 
1.49816 -0.130127 1500 

# Contour 1, label: 
0.938294 0.852759 1500 
0.942754 0.844983 1500 
0.948629 0.834615 1500 
0.948662 0.834556 1500 
0.954565 0.824247 1500 
0.95903 0.816356 1500 
0.960455 0.81388 1500 
0.966371 0.803512 1500 
0.969398 0.798155 1500 
0.972276 0.793144 1500 
0.978173 0.782776 1500 
0.979766 0.779953 1500 
0.984092 0.772408 1500 
0.98997 0.76204 1500 
0.990134 0.76175 1500 
0.995904 0.751672 1500 
1.0005 0.743549 1500 
1.00179 0.741304 1500 
1.00771 0.730936 1500 
1.01087 0.725348 1500 
1.01361 0.720569 1500 
1.01951 0.710201 1500 
1.02124 0.707147 1500 
1.02543 0.699833 1500 
1.03131 0.689465 1500 
1.03161 0.688944 1500 
1.03724 0.679097 1500 
1.04197 0.670743 1500 
1.04313 0.668729 1500 
1.04905 0.658361 1500 
1.05234 0.652542 1500 
1.05495 0.647993 1500 
1.06085 0.637625 1500 
1.06271 0.63434 1500 
1.06677 0.627258 1500 
1.07265 0.61689 1500 
1.07308 0.616138 1500 
1.07858 0.606522 1500 
1.08344 0.597937 1500 
1.08447 0.596154 1500 
1.09039 0.585786 1500 
1.09381 0.579736 1500 
1.09629 0.575418 1500 
1.10219 0.56505 1500 
1.10418 0.561534 1500 
1.10811 0.554682 1500 
1.11399 0.544314 1500 
1.11455 0.543331 1500 
1.11992 0.533947 1500 
1.12492 0.52513 1500 
1.12581 0.523579 1500 
1.13173 0.513211 1500 
1.13528 0.506929 1500 
1.13763 0.502843 1500 
1.14353 0.492475 1500 
1.14565 0.488728 1500 
1.14945 0.482107 1500 
1.15533 0.471739 1500 
1.15602 0.470525 1500 
1.16126 0.461371 1500 
1.16639 0.452324 1500 
1.16715 0.451003 1500 
1.17307 0.440635 1500 
1.17676 0.434123 1500 
1.17897 0.430268 1500 
1.18487 0.4199 1500 
1.18712 0.415921 1500 
1.19079 0.409532 1500 
1.19668 0.399164 1500 
1.19749 0.397719 1500 
