
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fS_M%d.dat', M) binary matrix"

# Contour 0, label:  2.5e+03
1.11121 -1.46706 2500 
1.11455 -1.47341 2500 
1.11668 -1.47742 2500 
1.12215 -1.48779 2500 
1.12492 -1.49306 2500 
1.12762 -1.49816 2500 

# Contour 1, label: 
0.761125 -0.803512 2500 
0.76204 -0.805259 2500 
0.766606 -0.81388 2500 
0.772062 -0.824247 2500 
0.772408 -0.824909 2500 
0.777546 -0.834615 2500 
0.782776 -0.84456 2500 
0.782887 -0.844983 2500 
0.788486 -0.855351 2500 
0.793144 -0.864213 2500 
0.793538 -0.865719 2500 
0.799425 -0.876087 2500 
0.803512 -0.883865 2500 
0.804187 -0.886455 2500 
0.810364 -0.896823 2500 
0.81388 -0.903516 2500 
0.814835 -0.907191 2500 
0.821303 -0.917559 2500 
0.824247 -0.923168 2500 
0.825481 -0.927926 2500 
0.832241 -0.938294 2500 
0.834615 -0.94282 2500 
0.836126 -0.948662 2500 
0.843179 -0.95903 2500 
0.844983 -0.962471 2500 
0.846769 -0.969398 2500 
0.854116 -0.979766 2500 
0.855351 -0.982122 2500 
0.859595 -0.990134 2500 
0.865053 -1.0005 2500 
0.865719 -1.00177 2500 
0.870535 -1.01087 2500 
0.87599 -1.02124 2500 
0.876087 -1.02142 2500 
0.881475 -1.03161 2500 
0.886455 -1.04107 2500 
0.886685 -1.04197 2500 
0.892414 -1.05234 2500 
0.896823 -1.06073 2500 
0.897329 -1.06271 2500 
0.903354 -1.07308 2500 
0.907191 -1.08038 2500 
0.907972 -1.08344 2500 
0.914293 -1.09381 2500 
0.917559 -1.10003 2500 
0.918613 -1.10418 2500 
0.925231 -1.11455 2500 
0.927926 -1.11968 2500 
0.929253 -1.12492 2500 
0.936169 -1.13528 2500 
0.938294 -1.13933 2500 
0.941642 -1.14565 2500 
0.947107 -1.15602 2500 
0.948662 -1.15898 2500 
0.952583 -1.16639 2500 
0.958044 -1.17676 2500 
0.95903 -1.17864 2500 
0.963524 -1.18712 2500 
0.968982 -1.19749 2500 
0.969398 -1.19829 2500 
0.974464 -1.20786 2500 
0.979766 -1.21794 2500 
0.979839 -1.21823 2500 
0.985404 -1.2286 2500 
0.990134 -1.23759 2500 
0.990478 -1.23896 2500 
0.996343 -1.24933 2500 
1.0005 -1.25724 2500 
1.00112 -1.2597 2500 
1.00728 -1.27007 2500 
1.01087 -1.27689 2500 
1.01175 -1.28043 2500 
1.01822 -1.2908 2500 
1.02124 -1.29654 2500 
1.02369 -1.30117 2500 
1.02916 -1.31154 2500 
1.03161 -1.3162 2500 
1.03463 -1.32191 2500 
1.0401 -1.33227 2500 
1.04197 -1.33585 2500 
1.04557 -1.34264 2500 
1.05104 -1.35301 2500 
1.05234 -1.3555 2500 
1.05651 -1.36338 2500 
1.06197 -1.37375 2500 
1.06271 -1.37515 2500 
1.06745 -1.38411 2500 
1.07291 -1.39448 2500 
1.07308 -1.3948 2500 
1.07839 -1.40485 2500 
1.08344 -1.41445 2500 
1.08363 -1.41522 2500 
1.08933 -1.42559 2500 
1.09381 -1.4341 2500 
1.09427 -1.43595 2500 
1.10027 -1.44632 2500 
1.10418 -1.45376 2500 
1.10574 -1.45669 2500 
1.11121 -1.46706 2500 

# Contour 2, label: 
0.402633 -0.129599 2500 
0.409532 -0.13888 2500 
0.41035 -0.139967 2500 
0.413299 -0.150334 2500 
0.4199 -0.159209 2500 
0.421025 -0.160702 2500 
0.423963 -0.17107 2500 
0.430268 -0.179541 2500 
0.431698 -0.181438 2500 
0.438405 -0.191806 2500 
0.440635 -0.196068 2500 
0.442369 -0.202174 2500 
0.449342 -0.212542 2500 
0.451003 -0.215719 2500 
0.453038 -0.22291 2500 
0.460278 -0.233278 2500 
0.461371 -0.235369 2500 
0.463705 -0.243645 2500 
0.471213 -0.254013 2500 
0.471739 -0.255019 2500 
0.47437 -0.264381 2500 
0.482107 -0.274719 2500 
0.485034 -0.285117 2500 
0.492475 -0.295054 2500 
0.492802 -0.295485 2500 
0.495696 -0.305853 2500 
0.502843 -0.315391 2500 
0.503472 -0.316221 2500 
0.506356 -0.326589 2500 
0.513211 -0.335731 2500 
0.51414 -0.336957 2500 
0.520457 -0.347324 2500 
0.523579 -0.353278 2500 
0.524807 -0.357692 2500 
0.531395 -0.36806 2500 
0.533947 -0.37293 2500 
0.535472 -0.378428 2500 
0.542332 -0.388796 2500 
0.544314 -0.392581 2500 
0.546135 -0.399164 2500 
0.553269 -0.409532 2500 
0.554682 -0.412232 2500 
0.556796 -0.4199 2500 
0.564205 -0.430268 2500 
0.56505 -0.431882 2500 
0.567456 -0.440635 2500 
0.575141 -0.451003 2500 
0.575418 -0.451532 2500 
0.578114 -0.461371 2500 
0.585786 -0.471539 2500 
0.585938 -0.471739 2500 
0.58877 -0.482107 2500 
0.596154 -0.491887 2500 
0.596603 -0.492475 2500 
0.602508 -0.502843 2500 
0.606522 -0.510489 2500 
0.607265 -0.513211 2500 
0.613447 -0.523579 2500 
0.61689 -0.530141 2500 
0.617926 -0.533947 2500 
0.624385 -0.544314 2500 
0.627258 -0.549792 2500 
0.628585 -0.554682 2500 
0.635323 -0.56505 2500 
0.637625 -0.569443 2500 
0.639242 -0.575418 2500 
0.64626 -0.585786 2500 
0.647993 -0.589094 2500 
0.649898 -0.596154 2500 
0.657197 -0.606522 2500 
0.658361 -0.608745 2500 
0.660551 -0.61689 2500 
0.668133 -0.627258 2500 
0.668729 -0.628396 2500 
0.671204 -0.637625 2500 
0.679069 -0.647993 2500 
0.679097 -0.648046 2500 
0.684558 -0.658361 2500 
0.689465 -0.667698 2500 
0.689741 -0.668729 2500 
0.695497 -0.679097 2500 
0.699833 -0.687351 2500 
0.700398 -0.689465 2500 
0.706436 -0.699833 2500 
0.710201 -0.707003 2500 
0.711052 -0.710201 2500 
0.717374 -0.720569 2500 
0.720569 -0.726654 2500 
0.721706 -0.730936 2500 
0.728313 -0.741304 2500 
0.730936 -0.746306 2500 
0.732357 -0.751672 2500 
0.73925 -0.76204 2500 
0.741304 -0.765957 2500 
0.743008 -0.772408 2500 
0.750188 -0.782776 2500 
0.751672 -0.785608 2500 
0.753656 -0.793144 2500 
0.761125 -0.803512 2500 

# Contour 3, label: 
0.0534343 0.533947 2500 
0.0570234 0.526778 2500 
0.0586973 0.523579 2500 
0.064028 0.513211 2500 
0.0673913 0.506492 2500 
