# Data file generated by gp_save_table.m
# 
	"IRs"	"Med."	"1st Q"	"3rd Q."	"CI Med. low"	"CI Med. high"	"HDI Med. low"	"HDI Med. high"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
"Ref"	brs/brs_posx0.00_posy0.00_ref_corrected.wav	0.008230	0.000000	0.039095	0.000000	0.037037	0.000000	0.037037	0.028807	0.008230	0.014403	0.041152	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.055556	0.000000	0.004115	0.037037	0.226337	0.086420	0.037037	0.115226	0.008230	
"Anchor"	brs/brs_posx0.00_posy0.00_anchor_corrected.wav	1.000000	0.990741	1.000000	0.991770	1.000000	0.991770	1.000000	0.921811	1.000000	0.989712	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.962963	0.989712	1.000000	0.993827	0.991770	0.880658	1.000000	1.000000	1.000000	0.991770	
"WFS"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_wfs_corrected.wav	0.627572	0.454733	0.812757	0.458848	0.800412	0.458848	0.800412	0.026749	0.888889	0.895062	0.617284	0.458848	0.500000	0.584362	0.800412	0.487654	0.652263	0.637860	0.668724	0.390947	0.450617	0.960905	0.318930	0.975309	0.825103	0.746914	0.084362	
"LWFS-SBL 1024 27R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M27_npw1024_corrected.wav	0.348765	0.254115	0.588477	0.283951	0.534979	0.283951	0.534979	0.028807	0.691358	0.308642	0.316872	0.205761	0.393004	0.176955	0.224280	0.380658	0.290123	0.500000	0.530864	0.283951	0.641975	0.870370	0.316872	1.000000	0.724280	0.534979	0.006173	
"LWFS-SBL 1024 23R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M23_npw1024_corrected.wav	0.308642	0.124486	0.404321	0.129630	0.386831	0.129630	0.386831	0.012346	0.421811	0.386831	0.246914	0.034979	0.082305	0.129630	0.026749	0.300412	0.351852	0.427984	0.621399	0.316872	0.446502	0.325103	0.119342	0.814815	0.160494	0.376543	0.273663	
"LWFS-SBL 1024 19R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M19_npw1024_corrected.wav	0.097737	0.060700	0.203704	0.063786	0.193416	0.063786	0.193416	0.020576	0.236626	0.213992	0.131687	0.016461	0.092593	0.057613	0.069959	0.094650	0.123457	0.069959	0.572016	0.100823	0.039095	0.158436	0.269547	0.666667	0.063786	0.193416	0.008230	
"LWFS-SBL 1024 15R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M15_npw1024_corrected.wav	0.222222	0.130658	0.275720	0.156379	0.265432	0.156379	0.265432	0.020576	0.386831	0.621399	0.172840	0.041152	0.176955	0.230453	0.104938	0.049383	0.213992	0.259259	0.296296	0.156379	0.265432	0.232510	0.164609	0.238683	0.286008	0.320988	0.057613	
"LWFS-SBL 1024 11R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M11_npw1024_corrected.wav	0.404321	0.247942	0.562757	0.273663	0.545267	0.273663	0.545267	0.022634	0.534979	0.450617	0.349794	0.162551	0.222222	0.335391	0.506173	0.627572	0.380658	0.201646	0.580247	0.290123	0.705761	0.273663	0.195473	0.987654	0.427984	0.648148	0.545267	
"LWFS-SBL 1024 7R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M07_npw1024_corrected.wav	0.558642	0.427984	0.663580	0.432099	0.656379	0.432099	0.656379	0.028807	0.341564	0.816872	0.475309	0.559671	0.670782	0.736626	0.656379	0.621399	0.500000	0.345679	0.777778	0.432099	0.592593	0.598765	0.423868	1.000000	0.353909	0.440329	0.557613	
"LWFS-SBL 1024 3R"	brs/brs_posx-0.50_posy0.75_circular_nls0056_dls3.00_lwfs-sbl_M03_npw1024_corrected.wav	0.847737	0.788066	0.931070	0.800412	0.925926	0.800412	0.925926	0.183128	0.802469	0.668724	0.853909	0.903292	0.775720	0.944444	0.800412	0.905350	0.921811	0.711934	0.936214	0.841564	0.748971	0.806584	0.808642	0.991770	0.948560	0.925926	0.985597	
