
# Surface 0 of 1 surfaces

# Curve title: "'fS.dat' u 1:2:($3/1000) binary matrix"

# Contour 0, label:        2
0.260781 -1.14565 2 
0.255107 -1.15602 2 
0.254013 -1.15803 2 
0.24944 -1.16639 2 
0.243764 -1.17676 2 
0.243645 -1.17697 2 
0.238099 -1.18712 2 
0.233278 -1.19594 2 
0.232425 -1.19749 2 
0.226758 -1.20786 2 
0.22291 -1.2149 2 
0.221085 -1.21823 2 
0.215416 -1.2286 2 
0.212542 -1.23386 2 
0.209746 -1.23896 2 
0.204074 -1.24933 2 
0.202174 -1.25281 2 
0.198406 -1.2597 2 
0.192732 -1.27007 2 
0.191806 -1.27177 2 
0.187065 -1.28043 2 
0.181438 -1.29071 2 
0.181389 -1.2908 2 
0.175725 -1.30117 2 
0.17107 -1.30968 2 
0.17005 -1.31154 2 
0.164383 -1.32191 2 
0.160702 -1.32864 2 
0.158711 -1.33227 2 
0.153042 -1.34264 2 
0.150334 -1.3476 2 
0.147371 -1.35301 2 
0.141699 -1.36338 2 
0.139967 -1.36655 2 
0.136031 -1.37375 2 
0.130357 -1.38411 2 
0.129599 -1.3855 2 
0.124691 -1.39448 2 
0.119231 -1.40446 2 
0.119015 -1.40485 2 
0.11335 -1.41522 2 
0.108863 -1.42342 2 
0.107676 -1.42559 2 
0.102008 -1.43595 2 
0.098495 -1.44238 2 
0.0963366 -1.44632 2 
0.0906667 -1.45669 2 
0.0881271 -1.46134 2 
0.0849968 -1.46706 2 
0.0793246 -1.47742 2 
0.0777592 -1.48029 2 
0.0736566 -1.48779 2 
0.0679821 -1.49816 2 

# Contour 1, label: 
0.618014 -0.492475 2 
0.61689 -0.494541 2 
0.612349 -0.502843 2 
0.60667 -0.513211 2 
0.606522 -0.513483 2 
0.601009 -0.523579 2 
0.596154 -0.53245 2 
0.595331 -0.533947 2 
0.589667 -0.544314 2 
0.585786 -0.551417 2 
0.583993 -0.554682 2 
0.578325 -0.56505 2 
0.575418 -0.570377 2 
0.572654 -0.575418 2 
0.566982 -0.585786 2 
0.56505 -0.589331 2 
0.561315 -0.596154 2 
0.555639 -0.606522 2 
0.554682 -0.608279 2 
0.549974 -0.61689 2 
0.544314 -0.627222 2 
0.544295 -0.627258 2 
0.538633 -0.637625 2 
0.533947 -0.646193 2 
0.532957 -0.647993 2 
0.527292 -0.658361 2 
0.523579 -0.665157 2 
0.521619 -0.668729 2 
0.51595 -0.679097 2 
0.513211 -0.684116 2 
0.510279 -0.689465 2 
0.504607 -0.699833 2 
0.502843 -0.703069 2 
0.49894 -0.710201 2 
0.493264 -0.720569 2 
0.492475 -0.722017 2 
0.487599 -0.730936 2 
0.482107 -0.740966 2 
0.481921 -0.741304 2 
0.476258 -0.751672 2 
0.471739 -0.759935 2 
0.470583 -0.76204 2 
0.464917 -0.772408 2 
0.461371 -0.778898 2 
0.459244 -0.782776 2 
0.453574 -0.793144 2 
0.451003 -0.797855 2 
0.447905 -0.803512 2 
0.442232 -0.81388 2 
0.440635 -0.816808 2 
0.436565 -0.824247 2 
0.430889 -0.834615 2 
0.430268 -0.835756 2 
0.425224 -0.844983 2 
0.4199 -0.854709 2 
0.419547 -0.855351 2 
0.413883 -0.865719 2 
0.409532 -0.873676 2 
0.408209 -0.876087 2 
0.402541 -0.886455 2 
0.399164 -0.892638 2 
0.39687 -0.896823 2 
0.391199 -0.907191 2 
0.388796 -0.911595 2 
0.38553 -0.917559 2 
0.379857 -0.927926 2 
0.378428 -0.930547 2 
0.37419 -0.938294 2 
0.368514 -0.948662 2 
0.36806 -0.949495 2 
0.362849 -0.95903 2 
0.357692 -0.968452 2 
0.357173 -0.969398 2 
0.351508 -0.979766 2 
0.347324 -0.987418 2 
0.345834 -0.990134 2 
0.340166 -1.0005 2 
0.336957 -1.00638 2 
0.334495 -1.01087 2 
0.328824 -1.02124 2 
0.326589 -1.02533 2 
0.323155 -1.03161 2 
0.317482 -1.04197 2 
0.316221 -1.04429 2 
0.311815 -1.05234 2 
0.306139 -1.06271 2 
0.305853 -1.06323 2 
0.300474 -1.07308 2 
0.295485 -1.0822 2 
0.294799 -1.08344 2 
0.289133 -1.09381 2 
0.285117 -1.10116 2 
0.28346 -1.10418 2 
0.277791 -1.11455 2 
0.274749 -1.12012 2 
0.27212 -1.12492 2 
0.266449 -1.13528 2 
0.264381 -1.13907 2 
0.260781 -1.14565 2 

# Contour 2, label: 
0.868113 0.285117 2 
0.86762 0.274749 2 
0.867053 0.264381 2 
0.86641 0.254013 2 
0.865719 0.244002 2 
0.865695 0.243645 2 
0.864919 0.233278 2 
0.864068 0.22291 2 
0.863141 0.212542 2 
0.862139 0.202174 2 
0.861063 0.191806 2 
0.85991 0.181438 2 
0.858682 0.17107 2 
0.857376 0.160702 2 
0.855993 0.150334 2 
0.855351 0.145755 2 
0.854547 0.139967 2 
0.853034 0.129599 2 
0.851442 0.119231 2 
0.849772 0.108863 2 
0.848022 0.098495 2 
0.846191 0.0881271 2 
0.844983 0.0815533 2 
0.844291 0.0777592 2 
0.84233 0.0673913 2 
0.840287 0.0570234 2 
0.838161 0.0466555 2 
0.835952 0.0362876 2 
0.834615 0.030218 2 
0.833674 0.0259197 2 
0.831334 0.0155518 2 
0.828908 0.00518395 2 
0.826395 -0.00518395 2 
0.824247 -0.0137549 2 
0.8238 -0.0155518 2 
0.82115 -0.0259197 2 
0.818413 -0.0362876 2 
0.815587 -0.0466555 2 
0.81388 -0.0527439 2 
0.812684 -0.0570234 2 
0.809716 -0.0673913 2 
0.806658 -0.0777592 2 
0.803512 -0.0880967 2 
0.800298 -0.098495 2 
0.796999 -0.108863 2 
0.793602 -0.119231 2 
0.793144 -0.120604 2 
0.790149 -0.129599 2 
0.786601 -0.139967 2 
0.782955 -0.150334 2 
0.782776 -0.150836 2 
0.779252 -0.160702 2 
0.77545 -0.17107 2 
0.772408 -0.179163 2 
0.771553 -0.181438 2 
0.767591 -0.191806 2 
0.763522 -0.202174 2 
0.76204 -0.205885 2 
0.75938 -0.212542 2 
0.755145 -0.22291 2 
0.751672 -0.231216 2 
0.75081 -0.233278 2 
0.746404 -0.243645 2 
0.741887 -0.254013 2 
0.741304 -0.255333 2 
0.737298 -0.264381 2 
0.732601 -0.274749 2 
0.730936 -0.278367 2 
0.727822 -0.285117 2 
0.72294 -0.295485 2 
0.720569 -0.300436 2 
0.717966 -0.305853 2 
0.712896 -0.316221 2 
0.710201 -0.321635 2 
0.707726 -0.326589 2 
0.70246 -0.336957 2 
0.699833 -0.34204 2 
0.697092 -0.347324 2 
0.691623 -0.357692 2 
0.689465 -0.361721 2 
0.686054 -0.36806 2 
0.680389 -0.378428 2 
0.679097 -0.380803 2 
0.674725 -0.388796 2 
0.669045 -0.399164 2 
0.668729 -0.399745 2 
0.663384 -0.409532 2 
0.658361 -0.418708 2 
0.657705 -0.4199 2 
0.652042 -0.430268 2 
0.647993 -0.437676 2 
0.646368 -0.440635 2 
0.6407 -0.451003 2 
0.637625 -0.456638 2 
0.635029 -0.461371 2 
0.629357 -0.471739 2 
0.627258 -0.475592 2 
0.62369 -0.482107 2 
0.618014 -0.492475 2 

# Contour 3, label: 
0.65237 1.08344 2 
0.658361 1.0745 2 
0.659328 1.07308 2 
0.666167 1.06271 2 
0.668729 1.0587 2 
0.672835 1.05234 2 
0.679097 1.04231 2 
0.679312 1.04197 2 
0.685707 1.03161 2 
0.689465 1.0253 2 
0.691913 1.02124 2 
0.697976 1.01087 2 
0.699833 1.0076 2 
0.703918 1.0005 2 
0.709683 0.990134 2 
0.710201 0.989178 2 
0.715373 0.979766 2 
0.720569 0.969953 2 
0.720867 0.969398 2 
0.726299 0.95903 2 
0.730936 0.949842 2 
0.731542 0.948662 2 
0.736719 0.938294 2 
0.741304 0.928763 2 
0.741714 0.927926 2 
0.746654 0.917559 2 
0.751411 0.907191 2 
0.751672 0.906604 2 
0.756113 0.896823 2 
0.760654 0.886455 2 
0.76204 0.88319 2 
0.765115 0.876087 2 
0.76945 0.865719 2 
0.772408 0.858399 2 
0.773664 0.855351 2 
0.777807 0.844983 2 
0.7818 0.834615 2 
0.782776 0.831997 2 
0.785726 0.824247 2 
0.789537 0.81388 2 
0.793144 0.803702 2 
0.793213 0.803512 2 
0.796853 0.793144 2 
0.800359 0.782776 2 
0.803512 0.773103 2 
0.803743 0.772408 2 
0.807085 0.76204 2 
0.810303 0.751672 2 
0.8134 0.741304 2 
0.81388 0.739643 2 
0.816451 0.730936 2 
0.819398 0.720569 2 
0.822232 0.710201 2 
0.824247 0.702537 2 
0.824976 0.699833 2 
0.827664 0.689465 2 
0.830246 0.679097 2 
0.832724 0.668729 2 
0.834615 0.660484 2 
0.835114 0.658361 2 
0.837451 0.647993 2 
0.839687 0.637625 2 
0.841826 0.627258 2 
0.843872 0.61689 2 
0.844983 0.610993 2 
0.845847 0.606522 2 
0.847759 0.596154 2 
0.849577 0.585786 2 
0.851304 0.575418 2 
0.852945 0.56505 2 
0.854502 0.554682 2 
0.855351 0.548681 2 
0.855985 0.544314 2 
0.857404 0.533947 2 
0.858742 0.523579 2 
0.859993 0.513211 2 
0.861162 0.502843 2 
0.862253 0.492475 2 
0.86326 0.482107 2 
0.864191 0.471739 2 
0.865041 0.461371 2 
0.865719 0.452294 2 
0.865818 0.451003 2 
0.866532 0.440635 2 
0.867167 0.430268 2 
0.867725 0.4199 2 
0.868207 0.409532 2 
0.868611 0.399164 2 
0.868941 0.388796 2 
0.869193 0.378428 2 
0.869372 0.36806 2 
0.869476 0.357692 2 
0.869503 0.347324 2 
0.869458 0.336957 2 
0.869338 0.326589 2 
0.869143 0.316221 2 
0.868873 0.305853 2 
0.86853 0.295485 2 
0.868113 0.285117 2 

# Contour 4, label: 
0.0475791 1.49816 2 
0.0570234 1.49637 2 
0.0673913 1.49437 2 
0.0777592 1.49259 2 
0.0881271 1.49125 2 
0.098495 1.48923 2 
0.103884 1.48779 2 
0.108863 1.48648 2 
0.119231 1.48369 2 
0.129599 1.48087 2 
0.139967 1.47802 2 
0.142138 1.47742 2 
0.150334 1.47478 2 
0.160702 1.47139 2 
0.17107 1.46794 2 
0.173703 1.46706 2 
0.181438 1.46421 2 
0.191806 1.46032 2 
0.201346 1.45669 2 
0.202174 1.45635 2 
0.212542 1.4521 2 
0.22291 1.44777 2 
0.226328 1.44632 2 
0.233278 1.44322 2 
0.243645 1.43851 2 
0.249209 1.43595 2 
0.254013 1.43365 2 
0.264381 1.4286 2 
0.270473 1.42559 2 
0.274749 1.42339 2 
0.285117 1.418 2 
0.290383 1.41522 2 
0.295485 1.41244 2 
0.305853 1.4067 2 
0.309169 1.40485 2 
0.316221 1.40079 2 
0.326589 1.3947 2 
0.326967 1.39448 2 
0.336957 1.38842 2 
0.343933 1.38411 2 
0.347324 1.38197 2 
0.357692 1.37533 2 
0.360133 1.37375 2 
0.36806 1.36848 2 
0.375622 1.36338 2 
0.378428 1.36144 2 
0.388796 1.35421 2 
0.390502 1.35301 2 
0.399164 1.34678 2 
0.404837 1.34264 2 
0.409532 1.33914 2 
0.418623 1.33227 2 
0.4199 1.33129 2 
0.430268 1.32321 2 
0.431936 1.32191 2 
0.440635 1.31492 2 
0.444808 1.31154 2 
0.451003 1.3064 2 
0.457254 1.30117 2 
0.461371 1.29765 2 
0.469313 1.2908 2 
0.471739 1.28866 2 
0.480994 1.28043 2 
0.482107 1.27942 2 
0.49233 1.27007 2 
0.492475 1.26993 2 
0.502843 1.26018 2 
0.503349 1.2597 2 
0.513211 1.25016 2 
0.514069 1.24933 2 
0.523579 1.23986 2 
0.524472 1.23896 2 
0.533947 1.22926 2 
0.534596 1.2286 2 
0.544314 1.21837 2 
0.544449 1.21823 2 
0.554057 1.20786 2 
0.554682 1.20717 2 
0.563421 1.19749 2 
0.56505 1.19564 2 
0.572547 1.18712 2 
0.575418 1.18377 2 
0.581441 1.17676 2 
0.585786 1.17155 2 
0.59011 1.16639 2 
0.596154 1.15896 2 
0.598563 1.15602 2 
0.606522 1.14599 2 
0.606791 1.14565 2 
0.614858 1.13528 2 
0.61689 1.1326 2 
0.622736 1.12492 2 
0.627258 1.11878 2 
0.630403 1.11455 2 
0.637625 1.10452 2 
0.63787 1.10418 2 
0.645215 1.09381 2 
0.647993 1.08976 2 
0.65237 1.08344 2 

# Contour 5, label: 
-0.260781 -1.14565 2 
-0.255107 -1.15602 2 
-0.254013 -1.15803 2 
-0.24944 -1.16639 2 
-0.243764 -1.17676 2 
-0.243645 -1.17697 2 
-0.238099 -1.18712 2 
-0.233278 -1.19594 2 
-0.232425 -1.19749 2 
-0.226758 -1.20786 2 
-0.22291 -1.2149 2 
-0.221085 -1.21823 2 
-0.215416 -1.2286 2 
-0.212542 -1.23386 2 
-0.209746 -1.23896 2 
-0.204074 -1.24933 2 
-0.202174 -1.25281 2 
-0.198406 -1.2597 2 
-0.192732 -1.27007 2 
-0.191806 -1.27177 2 
-0.187065 -1.28043 2 
-0.181438 -1.29071 2 
-0.181389 -1.2908 2 
-0.175725 -1.30117 2 
-0.17107 -1.30968 2 
-0.17005 -1.31154 2 
-0.164383 -1.32191 2 
-0.160702 -1.32864 2 
-0.158711 -1.33227 2 
-0.153042 -1.34264 2 
-0.150334 -1.3476 2 
-0.147371 -1.35301 2 
-0.141699 -1.36338 2 
-0.139967 -1.36655 2 
-0.136031 -1.37375 2 
-0.130357 -1.38411 2 
-0.129599 -1.3855 2 
-0.124691 -1.39448 2 
-0.119231 -1.40446 2 
-0.119015 -1.40485 2 
-0.11335 -1.41522 2 
-0.108863 -1.42342 2 
-0.107676 -1.42559 2 
-0.102008 -1.43595 2 
-0.098495 -1.44238 2 
-0.0963366 -1.44632 2 
-0.0906667 -1.45669 2 
-0.0881271 -1.46134 2 
-0.0849968 -1.46706 2 
-0.0793246 -1.47742 2 
-0.0777592 -1.48029 2 
-0.0736566 -1.48779 2 
-0.0679821 -1.49816 2 

# Contour 6, label: 
-0.618014 -0.492475 2 
-0.61689 -0.494541 2 
-0.612349 -0.502843 2 
-0.60667 -0.513211 2 
-0.606522 -0.513483 2 
-0.601009 -0.523579 2 
-0.596154 -0.53245 2 
-0.595331 -0.533947 2 
-0.589667 -0.544314 2 
-0.585786 -0.551417 2 
-0.583993 -0.554682 2 
-0.578325 -0.56505 2 
-0.575418 -0.570377 2 
-0.572654 -0.575418 2 
-0.566982 -0.585786 2 
-0.56505 -0.589331 2 
-0.561315 -0.596154 2 
-0.555639 -0.606522 2 
-0.554682 -0.608279 2 
-0.549974 -0.61689 2 
-0.544314 -0.627222 2 
-0.544295 -0.627258 2 
-0.538633 -0.637625 2 
-0.533947 -0.646193 2 
-0.532957 -0.647993 2 
-0.527292 -0.658361 2 
-0.523579 -0.665157 2 
-0.521619 -0.668729 2 
-0.51595 -0.679097 2 
-0.513211 -0.684116 2 
-0.510279 -0.689465 2 
-0.504607 -0.699833 2 
-0.502843 -0.703069 2 
-0.49894 -0.710201 2 
-0.493264 -0.720569 2 
-0.492475 -0.722017 2 
-0.487599 -0.730936 2 
-0.482107 -0.740966 2 
-0.481921 -0.741304 2 
-0.476258 -0.751672 2 
-0.471739 -0.759935 2 
-0.470583 -0.76204 2 
-0.464917 -0.772408 2 
-0.461371 -0.778898 2 
-0.459244 -0.782776 2 
-0.453574 -0.793144 2 
-0.451003 -0.797855 2 
-0.447905 -0.803512 2 
-0.442232 -0.81388 2 
